牡蠣索引 Oyster Index,牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight
1,1,6.9,7.8,4.1,2.5,31.98,79.95,28.1,20.7,0.256227758,0.2,7.2
2,2,6.3,7.8,5.2,3.6,40.56,146.016,50,42.4,0.18,-1.4,9
3,3,9.1,10.5,4.6,2.1,48.3,101.43,38,27.1,0.281578947,0.2,10.7
4,4,6.7,8.2,4.3,2.4,35.26,84.624,34.6,24.8,0.303468208,-0.7,10.5
5,5,6.4,7.8,3.8,2.3,29.64,68.172,25.9,20,0.250965251,-0.6,6.5
6,6,7.4,8.4,4.1,2.3,34.44,79.212,33.4,24.8,0.254491018,0.1,8.5
7,7,8.2,9.4,4.2,2.1,39.48,82.908,44.3,35.6,0.191873589,0.2,8.5
8,8,7.1,7.1,4.2,2.4,29.82,71.568,28.8,21.8,0.246527778,-0.1,7.1
9,9,7.8,9.2,3.9,1.9,35.88,68.172,32.8,25.9,0.237804878,-0.9,7.8
10,10,8.4,8.4,4.4,1.8,36.96,66.528,31.8,23.3,0.251572327,0.5,8
11,11,6.6,7.9,4.1,2.5,32.39,80.975,31.6,24.6,0.212025316,0.3,6.7
12,12,5.9,6.6,4.3,2.2,28.38,62.436,28.6,21.9,0.241258741,-0.2,6.9
13,13,5.8,6.8,4.5,2.9,30.6,88.74,37.1,27.4,0.269541779,-0.3,10
14,14,7.8,8.6,4.5,3.3,38.7,127.71,53.5,38.4,0.25046729,1.7,13.4
15,15,8.4,9.6,4.8,2.3,46.08,105.984,42.1,29.4,0.280285036,0.9,11.8
16,16,9,10.1,4.8,2.1,48.48,101.808,40.6,30.7,0.270935961,-1.1,11
17,17,7.7,8.6,4.2,3.4,36.12,122.808,51.5,36.4,0.217475728,3.9,11.2
18,18,8.1,9.3,4.8,2.1,44.64,93.744,53.5,40,0.248598131,0.2,13.3
19,19,5.8,7,4.3,2.3,30.1,69.23,27.8,22,0.226618705,-0.5,6.3
20,20,9.5,10.3,4.4,1.7,45.32,77.044,31.3,23.3,0.249201278,0.2,7.8
21,21,6.9,7.7,3.5,1.8,26.95,48.51,26.3,21.2,0.231939163,-1,6.1
22,22,6.3,6.8,4.4,2.1,29.92,62.832,26.7,18.9,0.277153558,0.4,7.4
23,23,7.7,9,5.1,2.1,45.9,96.39,30.2,23.3,0.231788079,-0.1,7
24,24,7.7,7.9,4.3,1.9,33.97,64.543,33.3,25.6,0.24024024,-0.3,8
25,25,6.3,7.3,3.7,2.1,27.01,56.721,26.1,19.3,0.252873563,0.2,6.6
26,26,6.6,7.1,4.4,2.3,31.24,71.852,30.3,23,0.240924092,0,7.3
27,27,7.4,8.3,4.6,1.9,38.18,72.542,35.5,28.9,0.183098592,0.1,6.5
28,28,8.5,9.3,4.6,2.6,42.78,111.228,59,47.1,0.223728814,-1.3,13.2
29,29,7.5,8.4,4.6,2.8,38.64,108.192,46.8,30.9,0.282051282,2.7,13.2
30,30,7.1,7.1,5.2,2.2,36.92,81.224,40.5,31.5,0.219753086,0.1,8.9
31,31,7.1,8.5,4,2.4,34,81.6,30.2,20,0.245033113,2.8,7.4
32,32,6.5,7.7,4.5,2.3,34.65,79.695,24.7,19.8,0.210526316,-0.3,5.2
33,33,5.5,6.4,4.2,2.1,26.88,56.448,32.4,22.5,0.277777778,0.9,9
34,34,8.3,9.4,4.2,2.1,39.48,82.908,45.5,36.4,0.195604396,0.2,8.9
35,35,10.5,10.8,7.2,2.7,77.76,209.952,107.5,67.5,0.27627907,10.3,29.7
36,36,6.8,7.9,3.9,2.3,30.81,70.863,30.9,22.7,0.258899676,0.2,8
37,37,8.6,8.8,5,2,44,88,40.6,31.2,0.236453202,-0.2,9.6
38,38,7.7,8.7,3.5,2,30.45,60.9,24.1,17.3,0.273858921,0.2,6.6
39,39,6.6,7.8,3.9,2.4,30.42,73.008,30,22,0.276666667,-0.3,8.3
