牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight,準確值 Accurate value,預測值 Predicted value,誤差值 Error value
96.0,6.1,6.6,4.4,2.7,29.04,78.408,35.9,24.6,0.2841225626740947,1.1000000000000014,10.2,10.2,9.258172988891602,0.9418270111083977
4.0,6.7,8.2,4.3,2.4,35.26,84.624,34.6,24.8,0.3034682080924855,-0.6999999999999957,10.5,10.5,8.57564926147461,1.9243507385253906
44.0,7.9,8.6,4.5,2.2,38.7,85.14,36.9,26.8,0.2628726287262872,0.3999999999999986,9.7,9.7,9.269819259643555,0.4301807403564446
7.0,8.2,9.4,4.2,2.1,39.48,82.90800000000002,44.3,35.6,0.1918735891647855,0.1999999999999957,8.5,8.5,11.219473838806152,-2.7194738388061523
85.0,7.4,8.8,4.5,1.9,39.6,75.24,36.0,26.4,0.2277777777777777,1.4000000000000057,8.2,8.2,9.345067977905273,-1.1450679779052741
55.0,8.6,9.7,4.5,1.9,43.65,82.93499999999999,37.6,28.7,0.2074468085106383,1.1000000000000014,7.8,7.8,9.56668758392334,-1.76668758392334
100.0,7.5,8.6,4.1,2.3,35.26,81.09799999999998,34.3,25.0,0.239067055393586,1.0999999999999943,8.2,8.2,8.4814453125,-0.2814453125000007
95.0,6.9,8.2,4.7,2.0,38.54,77.08,38.2,26.3,0.2617801047120419,1.9000000000000057,10.0,10.0,9.955419540405273,0.04458045959472656
114.0,5.9,6.5,4.7,2.6,30.55,79.43,28.1,20.0,0.2597864768683274,0.8000000000000007,7.3,7.3,6.825896263122559,0.47410373687744123
62.0,6.4,7.9,5.0,2.0,39.5,79.0,25.4,18.8,0.2244094488188976,0.8999999999999986,5.7,5.7,6.238813400268555,-0.5388134002685545
109.0,6.8,7.8,4.4,2.2,34.32,75.504,32.1,24.1,0.2274143302180685,0.6999999999999993,7.3,7.3,8.199369430541992,-0.8993694305419924
72.0,7.0,7.9,4.5,2.3,35.550000000000004,81.765,31.8,23.4,0.2358490566037736,0.9000000000000021,7.5,7.5,7.916654586791992,-0.4166545867919922
28.0,8.5,9.3,4.6,2.6,42.78,111.228,59.0,47.1,0.223728813559322,-1.2999999999999972,13.2,13.2,14.798887252807617,-1.598887252807618
19.0,5.8,7.0,4.3,2.3,30.1,69.22999999999999,27.8,22.0,0.2266187050359712,-0.5,6.3,6.3,7.241568565368652,-0.9415685653686525
108.0,6.6,7.5,4.4,2.4,33.0,79.2,35.8,22.9,0.3240223463687151,1.2999999999999972,11.6,11.6,9.151055335998535,2.4489446640014645
12.0,5.9,6.6,4.3,2.2,28.38,62.436,28.6,21.9,0.2412587412587412,-0.1999999999999957,6.9,6.9,7.722875595092773,-0.8228755950927731
125.0,6.6,7.8,4.5,2.3,35.1,80.73,27.2,20.4,0.2389705882352941,0.3000000000000007,6.5,6.5,6.635403633117676,-0.13540363311767578
111.0,7.1,7.8,4.4,2.4,34.32,82.368,40.0,26.4,0.3075,1.2999999999999972,12.3,12.3,10.234476089477539,2.0655239105224616
42.0,7.5,8.2,3.5,3.1,28.7,88.96999999999998,37.5,29.7,0.2053333333333333,0.1000000000000014,7.7,7.7,9.098715782165527,-1.3987157821655272
87.0,6.5,7.4,4.8,2.0,35.52,71.04,36.4,23.7,0.2967032967032967,1.8999999999999984,10.8,10.8,9.53890323638916,1.2610967636108406
61.0,7.9,8.9,4.5,2.2,40.05,88.11000000000001,28.0,21.7,0.2178571428571428,0.2000000000000028,6.1,6.1,6.632301330566406,-0.5323013305664066
2.0,6.3,7.8,5.2,3.6,40.56,146.01600000000002,50.0,42.4,0.18,-1.3999999999999986,9.0,9.0,11.020364761352539,-2.020364761352539
